rcid,session,date,unres,me,nu,di,hr,co,ec
2147,35,11/1/1980,R/35/13A,1,0,0,0,0,0
2270,36,12/6/1981,R/36/146F,1,0,0,0,0,0
1855,33,1/5/1979,R/33/183H,0,0,0,0,0,1
2022,34,11/3/1979,R/34/52A,1,0,0,0,0,0
1850,33,1/5/1979,R/33/183B,0,0,0,1,0,0
1887,33,12/5/1978,R/33/91F,0,1,0,0,0,0
2138,35,12/7/1980,R/35/154,0,1,0,0,0,0
2125,35,12/7/1980,R/35/144C,0,0,1,0,0,0
2291,36,10/1/1981,R/36/13,0,0,0,1,0,0
2200,36,11/4/1981,R/36/25,0,1,0,0,0,0
2224,36,12/7/1981,R/36/172F,0,0,0,0,0,0
2304,36,11/3/1981,R/36/51,1,0,0,0,0,0
1917,33,12/5/1978,R/33/98,0,0,0,0,0,1
2034,34,12/2/1979,R/34/184,0,0,0,0,0,0
1988,34,12/3/1979,R/34/93E,0,1,0,0,0,0
1895,33,12/7/1978,R/33/113A,1,0,0,1,1,0
2027,34,12/3/1979,R/34/90B,1,0,0,1,0,0
2271,36,12/6/1981,R/36/146G,1,0,0,0,0,0
2025,34,11/3/1979,R/34/52F,1,0,0,0,0,0
2021,34,11/3/1979,R/34/29,1,0,0,0,0,0
2024,34,11/3/1979,R/34/52E,1,0,0,0,0,0
2242,36,12/6/1981,R/36/92D,0,0,1,0,0,0
2303,36,11/3/1981,R/36/50,0,0,0,0,1,0
2235,36,12/6/1981,R/36/84,0,1,1,0,0,0
2196,35,12/3/1980,R/35/167,0,0,0,0,1,0
2295,36,11/6/1981,R/36/29,0,0,0,1,0,0
2095,35,10/1/1980,R/35/8,0,0,1,0,0,0
2240,36,12/6/1981,R/36/89,0,0,1,0,0,0
2132,35,12/7/1980,R/35/152B,0,1,1,0,0,0
1920,33,12/5/1978,R/33/103,0,0,0,1,0,0
2154,35,12/6/1980,R/35/122D,1,0,0,0,0,0
2041,34,11/2/1979,R/34/24,0,0,0,0,0,1
2193,35,12/6/1980,R/35/50,0,0,0,0,0,0
2135,35,12/7/1980,R/35/152G,0,0,0,0,0,0
1905,33,12/1/1978,R/33/147,1,0,0,0,0,1
1993,34,12/3/1979,R/34/93N,0,0,0,1,0,0
2173,35,12/3/1980,R/35/200,0,0,0,1,0,0
2108,35,12/4/1980,R/35/206B,1,1,1,0,0,0
1897,33,12/7/1978,R/33/113C,1,0,0,0,1,0
2026,34,12/3/1979,R/34/90A,1,0,0,1,0,0
1979,34,12/4/1979,R/34/70,1,0,0,0,1,0
2122,35,12/4/1980,R/35/207,1,0,0,0,1,0
2278,36,12/6/1981,R/36/147F,1,0,0,0,1,0
2162,35,12/7/1980,R/35/75,1,0,0,0,1,0
1847,33,12/3/1978,R/33/182A,0,0,0,0,0,0
2089,34,12/1/1979,R/34/145,0,0,0,0,1,0
1845,33,12/2/1978,R/33/44,0,0,0,0,1,0
1997,34,12/4/1979,R/34/94,0,0,0,0,1,0
2277,36,12/6/1981,R/36/147E,1,0,0,0,1,0
2001,34,12/2/1979,R/34/76A,0,1,1,0,0,0
2221,36,12/7/1981,R/36/172C,0,0,0,0,0,0
2117,35,12/4/1980,R/35/206M,0,0,0,1,0,0
2227,36,12/7/1981,R/36/172I,0,0,0,1,0,0
2179,35,11/1/1980,R/35/10B,0,0,0,0,0,0
2261,36,12/6/1981,R/36/99,0,1,1,0,0,0
2257,36,12/6/1981,R/36/97G,0,1,0,0,0,0
2238,36,12/6/1981,R/36/87B,1,1,1,0,0,0
1939,33,12/4/1978,R/33/13D,0,0,0,0,0,0
2186,35,12/5/1980,R/35/213,0,0,0,0,0,0
2321,36,12/1/1981,R/36/240C,0,0,0,0,0,0
1940,33,12/3/1978,R/33/13E,0,0,0,0,0,0
2212,36,12/7/1981,R/36/120F,1,0,0,0,0,0
2185,35,12/5/1980,R/35/115B,1,0,0,0,0,0
2307,36,11/2/1981,R/36/66B,0,0,0,0,0,0
2315,36,12/1/1981,R/36/235/VI,0,0,0,0,0,0
2083,34,12/4/1979,R/34/233/I,0,0,0,0,0,0
2182,35,12/3/1980,R/35/45B,0,0,0,0,0,0
2063,34,12/1/1979,R/34/7D,0,0,0,0,0,0
2072,34,12/4/1979,R/34/221,0,0,0,0,0,0
2324,36,11/6/1981,R/36/31,0,0,0,0,0,0
2088,34,11/3/1979,R/34/13,0,0,0,0,0,0
2194,35,12/3/1980,R/35/164,0,0,0,0,0,0
2215,36,12/7/1981,R/36/121C,0,0,0,0,1,0
1980,34,12/3/1979,R/34/92A,0,0,0,0,1,0
2190,35,12/5/1980,R/35/220,0,0,0,0,0,0
2309,36,12/7/1981,R/36/116B,0,0,0,0,0,0
2197,36,9/1/1981,R/36/3,0,0,0,0,0,0
2218,36,12/7/1981,R/36/121F,0,0,0,0,0,0
2184,35,12/5/1980,R/35/115A,1,0,0,0,0,0
2181,35,12/3/1980,R/35/45A,0,0,0,0,0,0
2306,36,11/2/1981,R/36/66A,0,0,0,0,0,0
2064,34,12/1/1979,R/34/9B,1,0,0,0,0,0
2061,34,12/1/1979,R/34/7B,0,0,0,0,0,0
2062,34,12/1/1979,R/34/7C,0,0,0,0,0,0
2060,34,10/6/1979,R/34/7A,0,0,0,0,0,0
2209,36,12/7/1981,R/36/120C,1,0,0,0,0,0
2049,34,12/1/1979,R/34/172,0,0,0,0,0,1
2180,35,12/3/1980,R/35/44,0,0,0,0,0,0
2298,36,12/6/1981,R/36/151,0,0,0,1,0,0
2327,36,12/7/1981,R/36/112,0,0,0,0,0,0
2084,34,12/4/1979,R/34/233/IX,0,0,0,0,0,0
2145,35,12/7/1980,R/35/157,,,,,,
2048,34,12/1/1979,R/34/160,1,0,0,1,1,0
1949,33,1/3/1979,R/33/116C/VI,0,0,0,0,0,0
2191,35,12/5/1980,R/35/222,0,0,0,0,0,0
2170,35,12/3/1980,R/35/190,0,0,0,1,0,0
2008,34,12/2/1979,R/34/83G,0,1,1,0,0,0
2067,34,12/1/1979,R/34/9E,1,0,0,0,0,0
1886,33,12/5/1978,R/33/91E,0,0,1,0,0,0
2189,35,12/5/1980,R/35/218,0,0,0,0,0,0
2246,36,12/6/1981,R/36/92I,0,1,1,0,0,0
2103,35,12/3/1980,R/35/169B,1,0,0,1,0,0
2234,36,12/7/1981,R/36/226B,1,0,0,0,1,0
